,id,name_x,artist_ids,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,title,rank,date,artist,region,streams,DATE,Year,name_y
353130,2r9hCNjupNy2C2g3r6SNz6,Strongest (Alan Walker Remix),"['7hssUdpvtY5oiARaUDgFZ3', '7vk5e3vY1uw9plTHJAMwjN']",False,0.722,0.787,-4.013,0.0734,0.0785,6.46e-06,0.124,0.852,92.022,210286,2017,Strongest (Alan Walker Remix),192,2018-02-01,Ina Wroldsen,Sweden,16398.0,2018-02-01,2018,Strongest (Alan Walker Remix)
353405,3fhOpwaKobrELFjKLcXHgI,Enemigos Ocultos,"['1i8SpTcr7yvPOmcqrbnVXY', '3E6xrwgnVfYCrCs0ePERDz', '7iK8PXO48WeuP03g8YR51W', '4SsVbpTthjScTS7U2hmr1X', '3Wb38LDP3N4tkobValgE9D', '00me4Ke1LsvMxt5kydlMyU']",True,0.71,0.845,-3.2960000000000003,0.222,0.22,0.0,0.416,0.718,172.08700000000005,445747,2020,Enemigos Ocultos,64,2020-09-04,"Ozuna, Wisin, Myke Towers, Arcangel, Juanka, Cosculluela",Argentina,62546.0,2020-09-04,2020,Enemigos Ocultos
353932,5Jm4w8jmPEBTLjI9vH4fXo,Caramelo,['1i8SpTcr7yvPOmcqrbnVXY'],False,0.735,0.7909999999999999,-4.462,0.0679,0.0529,0.000146,0.145,0.6970000000000001,168.08700000000005,217240,2020,Caramelo,174,2021-07-01,Ozuna,Costa Rica,3336.0,2021-07-01,2021,Caramelo
359267,3sNJJNTeeIsvYTnT1Kc7kX,Mala,['1i8SpTcr7yvPOmcqrbnVXY'],False,0.83,0.8059999999999999,-3.357,0.0864,0.24,9.58e-05,0.16,0.6890000000000001,94.007,185200,2020,Mala,93,2020-09-04,Ozuna,Chile,40763.0,2020-09-04,2020,Mala
359290,4UEd4q4IHbj12G58IPNZJz,Sincero,['1i8SpTcr7yvPOmcqrbnVXY'],False,0.8590000000000001,0.807,-3.801,0.0465,0.0552,0.000644,0.146,0.695,94.021,195547,2020,Sincero,109,2020-09-04,Ozuna,Chile,34763.0,2020-09-04,2020,Sincero
359316,1bkHetU9vnb9Ctwm5gXGOn,Que Tú Esperas,"['1i8SpTcr7yvPOmcqrbnVXY', '21451j1KhjAiaYKflxBjr1']",False,0.821,0.888,-3.432,0.0709,0.3279999999999999,1.44e-06,0.1889999999999999,0.765,92.037,221680,2020,Que Tú Esperas,74,2020-09-04,"Ozuna, Zion & Lennox",Chile,49008.0,2020-09-04,2020,Que Tú Esperas
359386,26NbqlL85qqnsZxJMT6IpZ,Esto No Acaba,"['1i8SpTcr7yvPOmcqrbnVXY', '1SupJlEpv7RS2tPNRaHViT']",False,0.772,0.7929999999999999,-3.934,0.038,0.0505,5.3e-05,0.6409999999999999,0.6509999999999999,104.986,217067,2020,Esto No Acaba,124,2020-09-04,"Ozuna, Nicky Jam",Chile,31125.0,2020-09-04,2020,Esto No Acaba
359401,7ooWSUhPtPPJfBhhLdYjIn,El Reggaetón,['1i8SpTcr7yvPOmcqrbnVXY'],False,0.863,0.773,-2.757,0.0576,0.368,0.00031,0.08,0.861,94.016,216960,2020,El Reggaetón,183,2020-09-04,Ozuna,Chile,24810.0,2020-09-04,2020,El Reggaetón
359410,0JAZWvvqttGFm4UMDsPQXC,Despeinada,"['1i8SpTcr7yvPOmcqrbnVXY', '28gNT5KBp7IjEOQoevXf9N']",False,0.7340000000000001,0.775,-3.855,0.0614,0.186,0.000542,0.123,0.72,166.03900000000004,224187,2020,Despeinada,148,2021-07-01,"Ozuna, Camilo",Argentina,30686.0,2021-07-01,2021,Despeinada
366872,5bDNU3Z4OOT2FeMxtbl8Kq,Gistro Amarillo,"['1i8SpTcr7yvPOmcqrbnVXY', '3E6xrwgnVfYCrCs0ePERDz']",False,0.79,0.843,-3.759,0.244,0.211,0.0,0.0938,0.754,92.023,230880,2020,Gistro Amarillo,127,2020-09-04,"Ozuna, Wisin",Chile,30704.0,2020-09-04,2020,Gistro Amarillo
366955,4CZtyjaSq1RilbT2b5oQrs,No La Mires,"['1i8SpTcr7yvPOmcqrbnVXY', '0EFisYRi20PTADoJrifHrz']",False,0.711,0.772,-5.08,0.109,0.2189999999999999,1.1e-05,0.122,0.6890000000000001,173.986,211333,2020,No La Mires,100,2020-09-04,"Ozuna, Jhay Cortez",Chile,38186.0,2020-09-04,2020,No La Mires
367040,4OENnoidV0h8gJV6bhrw7r,Only You Freestyle,"['6UCQYrcJ6wab6gnQ89OJFh', '3TVXtAsR1Inumwj472S9r4']",True,0.68,0.826,-2.5610000000000004,0.27,0.562,0.0,0.254,0.804,146.95,248937,2020,Only You Freestyle,63,2020-08-01,"Headie One, Drake",Australia,60429.0,2020-08-01,2020,Only You Freestyle
368092,7fP2cpq8jUlXz3h2QfEpgs,Buzina,['6tzRZ39aZlNqlUzQlkuhDV'],False,0.7659999999999999,0.888,-4.648,0.147,0.0957,2.29e-05,0.0654,0.69,164.017,137422,2018,Buzina,8,2018-10-05,Pabllo Vittar,Brazil,370101.0,2018-10-05,2018,Buzina
368124,7zvGNZu33bC4jZEkXHdDZ6,Ouro (feat. Urias),"['6tzRZ39aZlNqlUzQlkuhDV', '6BXiBj4eAZsiynbcmSRHUs']",False,0.6609999999999999,0.8340000000000001,-4.426,0.0772,0.118,0.0,0.273,0.652,169.952,153423,2018,Ouro (feat. Urias),27,2018-10-05,Pabllo Vittar,Brazil,259940.0,2018-10-05,2018,Ouro (feat. Urias)
399779,3AzjcOeAmA57TIOr9zF1ZW,Physical,['6M2wZ9GZgrQXHCFfjv46we'],False,0.647,0.8440000000000001,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967,193829,2020,Physical,116,2020-05-01,Dua Lipa,Argentina,32195.0,2020-05-01,2020,Physical
407339,39LLxExYz6ewLAcYrzQQyP,Levitating,['6M2wZ9GZgrQXHCFfjv46we'],False,0.695,0.884,-2.278,0.0753,0.0561,0.0,0.213,0.914,103.014,203808,2020,Levitating,141,2020-04-01,Dua Lipa,Argentina,25670.0,2020-04-01,2020,Levitating
412596,5n8Y78Pl5q8lqS7sJP61qw,Relógio Parado (Ao Vivo),['0CrGLmfVKzk9rAyiNb91ft'],False,0.741,0.943,-1.401,0.0456,0.0486,0.0,0.965,0.725,124.987,180736,2019,Relógio Parado (Ao Vivo),48,2020-05-01,Diego & Arnaldo,Brazil,217365.0,2020-05-01,2020,Relógio Parado (Ao Vivo)
413036,0T4AitQuq8IJhWBWuZwkFA,群青,['64tJ2EAv1R6UaZqc4iOCyj'],False,0.7190000000000001,0.87,-3.073,0.0472,0.321,0.0,0.187,0.732,134.97899999999998,248444,2020,群青,51,2020-09-01,YOASOBI,Japan,60370.0,2020-09-01,2020,群青
413323,2v5JTeM6hSmi5wWy7jiwrI,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),"['2kCcBybjl3SAtIcwdWpUe3', '3aGFCoR8xGN6DKwvdzeSja', '4UXqAaa6dQYAk18Lv7PEgX']",True,0.741,0.845,-3.568,0.0381,0.15,0.0,0.174,0.926,129.939,233613,2019,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),135,2019-02-01,Lil Peep,Austria,5232.0,2019-02-01,2019,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy)
414352,2sFp6E7lNBbblJGmUtCfFH,Uptown Girl - Radio Edit,['5Z1CCuBsyhEHngq3U5IraY'],False,0.645,0.921,-5.256,0.0302,0.00809,1.0800000000000003e-05,0.407,0.8640000000000001,129.0,186440,2000,Uptown Girl - Radio Edit,84,2017-02-16,Westlife,Ireland,4486.0,2017-02-16,2017,Uptown Girl - Radio Edit
414370,0K3F6uP4XEmYSAPvpSDx7J,Down Under,"['2QlwnS23KrBeshXFyK5U6M', '6VSMAVF00xwG8Adoqnbqy6']",False,0.7140000000000001,0.7979999999999999,-5.937,0.0668,0.0663,0.00206,0.145,0.698,106.971,202803,2019,Down Under,135,2019-08-01,"LVNDSCAPE, Rat City",Norway,12872.0,2019-08-01,2019,Down Under
414512,4x3l24JvZllYqbQm3Bd0GG,Love You Again,['7jEEE187pVG6InOxn03oA5'],False,0.6940000000000001,0.821,-3.057,0.0379,0.0589,0.0,0.105,0.805,142.05100000000004,192909,2016,Love You Again,84,2017-02-12,Benjamin Ingrosso,Sweden,23835.0,2017-02-12,2017,Love You Again
